Month,Downloads
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,55
2019-02,11
2019-03,9
2019-04,20
2019-05,8
2019-06,58
2019-07,52
2019-08,13
2019-09,19
2019-10,12
2019-11,26
2019-12,77
2020-01,17
2020-02,21
2020-03,19
2020-04,49
2020-05,10
2020-06,29
2020-07,21
2020-08,26
2020-09,61
2020-10,212
2020-11,226
2020-12,177
2021-01,61
2021-02,20
2021-03,26
2021-04,51
2021-05,29
2021-06,22
2021-07,101
2021-08,62
2021-09,70
2021-10,1755
2021-11,1849
2021-12,2661
2022-01,3464
2022-02,4161
2022-03,5048
2022-04,7390
2022-05,7181
2022-06,6302
2022-07,8182
2022-08,9329
2022-09,9221
2022-10,10901
2022-11,10780
2022-12,11933
2023-01,13484
2023-02,15663
2023-03,15606
2023-04,18055
2023-05,16753
2023-06,17869
2023-07,18553
2023-08,18076
2023-09,17309
2023-10,17301
2023-11,17847
2023-12,17030
2024-01,19608
2024-02,23024
2024-03,21284
2024-04,11309
2024-05,12502
2024-06,14862
2024-07,12809
2024-08,13768
2024-09,15258
2024-10,15302
