Month,Downloads
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,0
2019-12,0
2020-01,0
2020-02,0
2020-03,0
2020-04,0
2020-05,0
2020-06,0
2020-07,0
2020-08,0
2020-09,0
2020-10,0
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,0
2021-05,0
2021-06,0
2021-07,0
2021-08,0
2021-09,0
2021-10,455
2021-11,660
2021-12,979
2022-01,1233
2022-02,1451
2022-03,1507
2022-04,1654
2022-05,1908
2022-06,1709
2022-07,2604
2022-08,3514
2022-09,2637
2022-10,3220
2022-11,3150
2022-12,3880
2023-01,4714
2023-02,5340
2023-03,5259
2023-04,6300
2023-05,5500
2023-06,5514
2023-07,6143
2023-08,6178
2023-09,6673
2023-10,5555
2023-11,6350
2023-12,6684
2024-01,7416
2024-02,9448
2024-03,7979
2024-04,6010
2024-05,6532
2024-06,7412
2024-07,5724
2024-08,5697
2024-09,7443
2024-10,7389
