Month,Downloads
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,0
2019-12,0
2020-01,0
2020-02,0
2020-03,0
2020-04,0
2020-05,0
2020-06,0
2020-07,0
2020-08,0
2020-09,0
2020-10,0
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,0
2021-05,0
2021-06,0
2021-07,0
2021-08,0
2021-09,0
2021-10,0
2021-11,0
2021-12,0
2022-01,0
2022-02,0
2022-03,0
2022-04,0
2022-05,0
2022-06,0
2022-07,0
2022-08,39
2022-09,322
2022-10,13
2022-11,18
2022-12,8
2023-01,24
2023-02,22
2023-03,16
2023-04,21
2023-05,46
2023-06,137
2023-07,33
2023-08,347
2023-09,935
2023-10,314
2023-11,279
2023-12,603
2024-01,690
2024-02,1836
2024-03,2348
2024-04,1809
2024-05,2401
2024-06,3169
2024-07,1302
2024-08,1685
2024-09,3543
2024-10,3300
