Month,Downloads
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,0
2019-12,0
2020-01,0
2020-02,0
2020-03,0
2020-04,0
2020-05,0
2020-06,0
2020-07,0
2020-08,0
2020-09,0
2020-10,0
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,0
2021-05,0
2021-06,0
2021-07,0
2021-08,0
2021-09,0
2021-10,484
2021-11,703
2021-12,1041
2022-01,1395
2022-02,1564
2022-03,1528
2022-04,1670
2022-05,2003
2022-06,1810
2022-07,2535
2022-08,2365
2022-09,2551
2022-10,2939
2022-11,3074
2022-12,3128
2023-01,2780
2023-02,3517
2023-03,3224
2023-04,3433
2023-05,3608
2023-06,3081
2023-07,3395
2023-08,3760
2023-09,4756
2023-10,3828
2023-11,4309
2023-12,4988
2024-01,5515
2024-02,7758
2024-03,6915
2024-04,5275
2024-05,5949
2024-06,7282
2024-07,5489
2024-08,6569
2024-09,7474
2024-10,7770
